avere	0.11802	0.12139	-0.24114	0.036973	-0.083294	-0.092217	-0.24011	0.32002	0.23662	-0.19048	-0.13143	0.17301	-0.05357	-0.043395	-0.030154	-0.031399	0.28047	-0.17646	0.070699	-0.12403	0.23274	0.33237	-0.19422	-0.11218	-0.054037	0.015676	0.1848	0.19668	-0.072562	-0.019504	0.22849	0.25177	-0.016357	-0.18255	-0.17344	0.010074	0.15003	-0.059845	-0.24377	0.075466	-0.062956	0.13546	-0.057311	0.3149	0.36402	0.03449	0.20854	0.0042343	0.14625	0.23943	-0.51403	-0.067435	-0.39058	0.25828	-0.16276	-0.20716	-0.42059	0.28591	0.2931	0.14441	0.21894	0.12339	0.29613	0.17464	0.13112	-0.065748	0.1207	0.26026	-0.24343	-0.16027	-0.19115	-0.060814	0.047669	-0.15611	0.083597	0.028146	0.089417	0.071589	-0.027349	-0.10026	-0.025657	0.12114	0.22473	0.15326	-0.062236	-0.059708	0.0037481	-0.037591	-0.12251	-0.16701	-0.041587	0.059463	0.26768	-0.12845	-0.17529	-0.097338	-0.14173	0.029269	0.18491	-0.010567
fare	0.23234	0.15151	-0.26598	0.22141	-0.067427	-0.14867	-0.21324	0.34733	0.11993	0.12176	-0.13033	0.19073	0.043632	-0.032461	0.061465	0.12181	0.23663	-0.10929	0.19694	-0.2113	0.1033	0.15271	-0.11219	-0.040483	-0.046796	-0.035841	0.21028	0.088999	-0.15504	0.21091	0.0036172	0.18158	-0.22595	-0.10195	0.026069	-0.048115	-0.035711	0.0068542	-0.32501	0.11369	0.035977	0.20152	-0.15487	0.30742	0.34498	-0.26316	0.2249	-0.15662	0.00242	0.016909	-0.42188	0.086538	-0.44457	0.12647	-0.038302	-0.2937	-0.18704	0.26835	0.22239	0.14963	0.22709	-0.08094	0.12521	0.08662	0.19747	0.070449	0.12396	0.33726	-0.053223	-0.14214	0.083266	-0.16605	0.19814	0.029421	-0.0076314	0.0033952	0.25156	0.10598	-0.0017669	-0.13115	0.026168	0.11078	0.2778	0.18911	0.041022	0.020532	0.26342	0.11644	-0.26934	-0.13265	-0.064294	0.067768	0.32116	0.0236	-0.13207	-0.040769	-0.18004	0.16644	0.091462	-0.26548
dire	0.18043	0.18913	-0.36126	0.1303	-0.032302	0.083733	-0.17451	0.22223	0.15792	0.064043	0.0823	0.35971	0.22158	0.060055	0.059548	0.0070577	0.19916	-0.052452	0.17772	-0.16737	0.10927	0.25804	-0.24661	-0.019543	-0.16759	-0.0062275	0.53783	0.15267	0.022583	0.21088	0.13045	0.19454	-0.082135	-0.09604	-0.12128	0.0063412	-0.21656	0.069217	-0.29634	0.07871	-0.080829	0.23983	0.22977	0.38444	0.33915	-0.30185	0.25944	-0.032193	0.13349	0.20541	-0.046028	0.039982	-0.32603	0.18178	-0.11346	-0.51931	-0.21495	0.37632	0.38474	-0.0019431	0.36986	0.15508	0.087244	0.37899	0.23074	-0.11759	0.10496	0.21822	0.019134	-0.037426	0.2341	-0.29582	0.15818	-0.01115	0.13805	-0.14423	0.27275	-0.02181	0.061715	-0.09346	-0.028075	0.077912	0.12418	0.17262	0.077113	-0.16981	0.20685	0.079218	-0.28005	-0.23898	-0.21503	0.030851	0.42233	-0.10835	-0.052223	-0.028402	-0.0065801	-0.12501	-0.085561	0.051835
volere	0.089802	0.10561	-0.14085	0.17533	0.12131	0.031848	-0.26887	0.4466	0.01264	0.087382	-0.13737	0.21786	-0.10491	-0.16912	0.12027	-0.016324	0.32242	-0.31345	0.13782	-0.27039	0.20289	0.32308	-0.091832	-0.010346	-0.023474	-0.2324	0.398	-0.0084339	-0.060007	0.17783	-0.02668	0.13921	-0.17618	-0.038018	-0.121	-0.037134	0.15906	0.0076412	-0.20137	0.066164	-0.025041	0.12361	0.10277	0.36043	0.34411	-0.19233	0.13653	-0.017315	0.2284	0.13664	-0.22697	-0.06499	-0.4613	0.082831	-0.20524	-0.53848	-0.34646	0.32723	0.21673	0.30377	0.32939	-0.10774	0.22312	0.060747	0.12966	-0.021866	0.11313	0.28525	-0.13457	-0.24492	0.072444	-0.21997	0.18672	0.10415	0.25137	-0.11344	0.24897	0.098393	-0.093082	-0.1659	-0.084615	0.24055	0.10029	0.27936	0.16447	0.016719	0.080536	-0.025355	-0.17942	-0.2393	-0.048769	-0.042649	0.33634	0.063321	-0.12977	-0.17232	-0.14436	0.22106	0.17233	0.041625
andare	0.15251	0.19305	-0.14789	0.12247	0.043715	-0.044163	-0.12624	0.34436	-0.020587	0.052579	-0.24824	0.13997	-0.045745	-0.084879	0.15491	0.15632	0.10454	0.0586	0.018432	-0.24837	0.023596	0.45119	-0.079507	-0.15766	-0.00076228	-0.19157	0.080968	0.064639	-0.14482	0.2586	-0.058748	0.013379	-0.47095	-0.040759	0.10045	-0.096091	-0.043697	-0.42288	-0.17806	0.14931	-0.023195	0.13592	0.01046	0.19294	0.47457	-0.43751	0.62189	-0.19039	0.11578	-0.096001	-0.16008	0.012604	-0.20735	0.23211	-0.032552	-0.41932	-0.19219	0.38346	0.095444	-0.080145	0.26063	-0.061475	0.12032	0.18626	0.15396	0.18092	-0.045804	0.16754	-0.018105	-0.10841	0.21003	-0.035257	0.064718	-0.031197	0.128	-0.0040818	0.18486	0.12835	0.03041	-0.18817	0.14101	0.15339	0.12883	0.22376	0.10753	0.12019	0.26835	-0.0099458	-0.061633	-0.37001	-0.25798	0.010742	0.38241	-0.07794	-0.20022	-0.013141	-0.095888	0.20588	0.10624	-0.026024
stare	0.24812	0.078244	-0.060045	0.14737	0.10167	0.011442	-0.19285	0.26467	0.046332	0.068951	-0.35494	0.090014	-0.12595	0.10587	0.10869	0.047326	0.20143	-0.28354	0.22265	-0.31542	0.11717	0.1819	-0.18105	-0.26664	-0.087502	-0.0088688	0.23809	0.024269	-0.063492	0.22048	0.15995	0.23491	-0.31925	-0.1353	-0.028378	-0.092035	0.084157	-0.14579	-0.33679	0.065814	0.013809	0.27151	-0.13643	0.29257	0.31126	-0.38446	0.16736	-0.12469	0.10464	-0.044754	-0.3547	0.026529	-0.23444	0.27316	-0.21835	-0.44675	-0.29073	0.36978	0.3964	0.37563	0.28952	-0.019841	0.16281	0.22393	0.23087	0.11977	0.076336	0.33062	-0.10964	-0.1121	0.25288	-0.0039353	0.094863	-0.19361	0.13187	0.16607	0.045465	0.055534	-0.1528	-0.27058	-0.0182	-0.089658	0.043297	0.20139	0.10614	-0.13734	0.23873	0.018589	-0.08876	-0.18567	0.1123	-0.092405	0.30299	-0.18525	-0.18536	0.040492	-0.21402	0.066289	0.24078	0.00093976
dare	0.062679	0.34899	-0.24824	-0.11829	-0.18964	0.05602	-0.25515	0.29238	0.2423	0.10645	-0.041804	0.20792	-0.081802	-0.28184	0.042471	0.36288	-0.045859	0.21123	0.30551	-0.037448	0.21938	0.22885	-0.0098825	-0.022814	0.008759	0.14537	0.32969	0.13257	-0.22564	0.28854	0.25189	0.31856	-0.092369	-0.1413	0.051468	-0.0036271	-0.0016176	-0.10227	-0.32551	0.28026	-0.0048776	0.36224	-0.12208	0.15599	0.42614	-0.16384	0.16551	0.1177	-0.098576	-0.0058376	-0.29157	-0.13314	-0.51302	-0.30459	-0.096935	-0.094391	-0.34946	0.26389	0.13495	-0.15492	0.28522	0.084261	0.36738	-0.053385	0.23629	0.0051525	0.11491	0.38503	-0.085756	-0.096468	-0.18315	-0.08776	0.25672	-0.029063	0.15805	0.15344	0.13028	-0.20002	0.23392	-0.01575	0.01905	0.21058	0.19951	0.26758	0.01999	-0.12317	0.062113	-0.054759	-0.28106	-0.037636	0.039562	0.064327	0.27905	-0.08331	-0.078603	-0.20498	-0.070785	0.23759	-0.26651	-0.20272
sapere	0.20704	0.21665	-0.14015	0.21262	0.10577	0.09419	-0.20972	0.42336	0.11426	0.042037	-0.14063	0.18586	-0.15462	0.025427	0.070688	0.0065561	0.33622	-0.27138	0.25928	-0.16419	0.34872	0.17745	-0.1921	-0.027675	-0.072344	-0.076984	0.40101	-0.02388	-0.10843	0.18889	0.20083	0.067202	-0.12097	0.060205	-0.13379	0.11685	-0.068649	-0.025739	-0.19513	-0.011075	0.0020203	0.26541	0.15398	0.41234	0.38324	-0.36249	0.12665	-0.18061	-0.015662	0.17395	-0.097078	0.2543	-0.32468	0.29687	-0.12683	-0.37603	-0.36304	0.3699	0.37557	0.17448	0.42323	0.12225	0.056983	0.18929	0.22522	0.041435	0.037278	0.29319	0.12547	-0.13897	0.18996	-0.17864	0.15889	0.0053242	0.14665	-0.10713	0.34007	-0.10675	-0.018241	-0.053708	-0.071699	0.16501	0.10186	0.16929	0.029297	-0.16064	0.038948	0.048015	-0.37986	-0.12809	-0.0020505	-0.096098	0.42045	0.0334	-0.1575	-0.12582	0.0014086	0.16387	0.037854	-0.10997
vedere	0.24441	0.19597	-0.28981	0.21737	-0.28065	-0.033363	-0.2417	0.2828	0.025628	0.11428	-0.30518	0.18578	0.095874	0.01586	-0.011412	0.20524	0.18125	0.10192	0.2923	-0.03837	-0.019863	-0.016367	-0.33776	-0.10206	-0.09523	0.032686	0.22132	-0.10075	-0.14432	0.29211	-0.06596	0.10938	-0.56952	-0.061503	-0.081312	-0.18957	0.086213	-0.061327	-0.40547	0.022835	-0.19421	0.38101	0.12316	0.13131	0.38396	-0.30731	0.17852	-0.16053	-0.024297	0.084503	-0.29063	0.046277	-0.1664	0.37697	0.019554	-0.28327	-0.094761	0.33354	0.065442	-0.041762	0.46179	-0.034377	0.22246	0.11987	0.21833	0.097492	0.041169	0.23146	-0.13202	-0.08453	0.032661	-0.14724	0.034671	-0.14197	0.16463	-0.022923	0.14309	0.046498	0.064903	-0.21698	0.21598	0.045805	0.065343	0.11412	0.11227	-0.071007	0.17247	0.16117	-0.07631	-0.055015	-0.068499	-0.072591	0.42117	0.22364	-0.07638	-0.059956	-0.15068	0.036908	0.10081	0.067096
trovare	0.35894	0.04376	-0.1798	0.30339	-0.13275	-0.095972	-0.052171	0.31169	0.28096	0.054105	-0.077513	0.2061	-0.19345	-0.030975	0.055713	0.15295	-0.010933	0.38627	0.26235	-0.12286	0.13815	0.15221	-0.029348	0.20431	0.066871	0.33076	-0.0054261	-0.15857	-0.14672	0.4906	-0.081272	-0.071214	0.024188	-0.21731	0.015079	-0.29731	0.046733	-0.25922	-0.10062	0.13588	0.11683	0.33446	-0.074446	0.18168	0.19899	-0.25106	0.27032	-0.27715	-0.12886	0.1608	-0.095303	-0.014786	-0.18803	0.34764	0.21251	-0.43973	-0.11911	0.40378	-0.0077895	-0.012065	0.50653	0.11319	0.37198	-0.1157	0.097306	0.3028	0.14125	0.20498	-0.018779	-0.023664	0.099057	-0.36033	0.047451	-0.2444	0.18462	0.18944	0.11215	-0.27753	0.19223	-0.2796	0.22339	0.32698	0.1507	0.23225	-0.024558	-0.096268	0.11392	0.010073	0.077878	0.14285	0.16734	-0.036391	0.30712	-0.17388	-0.12601	-0.2387	-0.26004	0.26109	-0.37535	0.0054433
